Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Primera Division,10/08/18,Velez Sarsfield,Newells Old Boys,2,0
Primera Division,11/08/18,Tigre,San Lorenzo,2,2
Primera Division,11/08/18,Gimnasia L.P.,Argentinos Jrs,1,0
Primera Division,11/08/18,Union de Santa Fe,Aldosivi,1,0
Primera Division,11/08/18,Patronato,Colon Santa FE,0,0
Primera Division,12/08/18,Belgrano,San Martin S.J.,0,0
Primera Division,12/08/18,Boca Juniors,Talleres Cordoba,1,0
Primera Division,12/08/18,Godoy Cruz,Estudiantes L.P.,1,0
Primera Division,12/08/18,Lanus,Defensa y Justicia,2,2
Primera Division,12/08/18,Rosario Central,Banfield,1,0
Primera Division,13/08/18,Huracan,River Plate,0,0
Primera Division,14/08/18,Atl. Tucuman,Racing Club,2,2
Primera Division,17/08/18,Talleres Cordoba,Rosario Central,0,1
Primera Division,18/08/18,Newells Old Boys,Independiente,2,2
Primera Division,18/08/18,Defensa y Justicia,Atl. Tucuman,1,1
Primera Division,18/08/18,Banfield,Gimnasia L.P.,1,0
Primera Division,18/08/18,Argentinos Jrs,Godoy Cruz,0,0
Primera Division,19/08/18,River Plate,Belgrano,0,0
Primera Division,19/08/18,San Martin S.J.,Patronato,1,0
Primera Division,19/08/18,Colon Santa FE,Tigre,2,2
Primera Division,19/08/18,Aldosivi,Huracan,2,1
Primera Division,19/08/18,San Lorenzo,Lanus,2,2
Primera Division,20/08/18,Racing Club,Velez Sarsfield,2,0
Primera Division,20/08/18,Estudiantes L.P.,Boca Juniors,2,0
Primera Division,20/08/18,San Martin T.,Union de Santa Fe,1,1
Primera Division,24/08/18,Belgrano,Estudiantes L.P.,2,1
Primera Division,24/08/18,Patronato,Racing Club,0,3
Primera Division,25/08/18,Atl. Tucuman,Colon Santa FE,2,1
Primera Division,25/08/18,Independiente,Defensa y Justicia,0,1
Primera Division,25/08/18,Gimnasia L.P.,Talleres Cordoba,0,2
Primera Division,25/08/18,Tigre,San Martin S.J.,2,2
Primera Division,26/08/18,River Plate,Argentinos Jrs,0,0
Primera Division,26/08/18,Velez Sarsfield,Banfield,1,1
Primera Division,26/08/18,Lanus,Aldosivi,0,1
Primera Division,26/08/18,Rosario Central,San Martin T.,2,0
Primera Division,27/08/18,Huracan,Boca Juniors,0,0
Primera Division,27/08/18,Godoy Cruz,Newells Old Boys,2,1
Primera Division,28/08/18,Union de Santa Fe,San Lorenzo,1,1
Primera Division,31/08/18,Argentinos Jrs,Lanus,2,0
Primera Division,01/09/18,San Martin S.J.,Huracan,1,2
Primera Division,01/09/18,Defensa y Justicia,Belgrano,1,1
Primera Division,01/09/18,Banfield,Patronato,1,0
Primera Division,01/09/18,Talleres Cordoba,Godoy Cruz,1,0
Primera Division,02/09/18,San Lorenzo,River Plate,1,1
Primera Division,02/09/18,Racing Club,Rosario Central,2,0
Primera Division,02/09/18,Estudiantes L.P.,Independiente,2,2
Primera Division,02/09/18,Aldosivi,Tigre,0,2
Primera Division,02/09/18,Colon Santa FE,Union de Santa Fe,0,0
Primera Division,03/09/18,Boca Juniors,Velez Sarsfield,3,0
Primera Division,03/09/18,Newells Old Boys,Atl. Tucuman,1,2
Primera Division,04/09/18,San Martin T.,Gimnasia L.P.,1,1
Primera Division,14/09/18,Estudiantes L.P.,Aldosivi,0,2
Primera Division,15/09/18,Atl. Tucuman,Tigre,3,0
Primera Division,15/09/18,Independiente,Colon Santa FE,3,0
Primera Division,15/09/18,River Plate,San Martin S.J.,4,1
Primera Division,15/09/18,Belgrano,Newells Old Boys,0,0
Primera Division,16/09/18,Argentinos Jrs,Boca Juniors,0,1
Primera Division,16/09/18,Patronato,Gimnasia L.P.,0,2
Primera Division,16/09/18,Velez Sarsfield,San Martin T.,1,0
Primera Division,16/09/18,Union de Santa Fe,Talleres Cordoba,2,1
Primera Division,16/09/18,Lanus,Racing Club,0,1
Primera Division,17/09/18,Godoy Cruz,San Lorenzo,1,0
Primera Division,17/09/18,Huracan,Banfield,3,0
Primera Division,18/09/18,Rosario Central,Defensa y Justicia,0,1
Primera Division,21/09/18,San Lorenzo,Patronato,3,2
Primera Division,22/09/18,Colon Santa FE,Godoy Cruz,3,1
Primera Division,22/09/18,Newells Old Boys,Lanus,2,0
Primera Division,22/09/18,Talleres Cordoba,Velez Sarsfield,1,1
Primera Division,23/09/18,Banfield,Independiente,1,1
Primera Division,23/09/18,San Martin T.,Argentinos Jrs,0,0
Primera Division,23/09/18,Tigre,Huracan,0,2
Primera Division,23/09/18,Gimnasia L.P.,Rosario Central,1,1
Primera Division,23/09/18,San Martin S.J.,Atl. Tucuman,1,3
Primera Division,23/09/18,Boca Juniors,River Plate,0,2
Primera Division,24/09/18,Aldosivi,Belgrano,2,0
Primera Division,25/09/18,Racing Club,Union de Santa Fe,1,0
Primera Division,28/09/18,Independiente,Tigre,0,0
Primera Division,29/09/18,Lanus,River Plate,1,5
Primera Division,30/09/18,Argentinos Jrs,Racing Club,0,2
Primera Division,30/09/18,Patronato,Talleres Cordoba,2,1
Primera Division,30/09/18,Union de Santa Fe,Gimnasia L.P.,1,0
Primera Division,30/09/18,Belgrano,Huracan,0,1
Primera Division,01/10/18,Boca Juniors,Colon Santa FE,3,1
Primera Division,01/10/18,Godoy Cruz,Defensa y Justicia,0,1
Primera Division,02/10/18,San Martin T.,Banfield,1,1
Primera Division,02/10/18,Velez Sarsfield,Aldosivi,2,0
Primera Division,06/10/18,Aldosivi,San Martin T.,2,0
Primera Division,06/10/18,Gimnasia L.P.,Godoy Cruz,1,0
Primera Division,06/10/18,San Martin S.J.,Velez Sarsfield,3,1
Primera Division,07/10/18,Patronato,Independiente,1,2
Primera Division,07/10/18,Banfield,San Lorenzo,2,0
Primera Division,07/10/18,Atl. Tucuman,Lanus,0,0
Primera Division,07/10/18,Rosario Central,Union de Santa Fe,0,4
Primera Division,07/10/18,Talleres Cordoba,Belgrano,3,0
Primera Division,07/10/18,Racing Club,Boca Juniors,2,2
Primera Division,08/10/18,Tigre,Estudiantes L.P.,1,0
Primera Division,09/10/18,Colon Santa FE,Newells Old Boys,1,0
Primera Division,19/10/18,Defensa y Justicia,Talleres Cordoba,2,0
Primera Division,19/10/18,Velez Sarsfield,Gimnasia L.P.,1,0
Primera Division,20/10/18,Colon Santa FE,River Plate,1,0
Primera Division,20/10/18,Godoy Cruz,Aldosivi,2,0
Primera Division,20/10/18,Lanus,Patronato,3,1
Primera Division,20/10/18,Boca Juniors,Rosario Central,0,0
Primera Division,21/10/18,Newells Old Boys,Tigre,2,0
Primera Division,21/10/18,Estudiantes L.P.,Atl. Tucuman,1,1
Primera Division,21/10/18,Argentinos Jrs,Union de Santa Fe,0,1
Primera Division,21/10/18,Independiente,Huracan,3,1
Primera Division,22/10/18,San Martin T.,Racing Club,2,1
Primera Division,22/10/18,Belgrano,Banfield,1,1
Primera Division,23/10/18,San Lorenzo,San Martin S.J.,2,1
Primera Division,24/10/18,Estudiantes L.P.,Newells Old Boys,1,0
Primera Division,26/10/18,Tigre,Lanus,1,1
Primera Division,27/10/18,Huracan,Colon Santa FE,3,2
Primera Division,27/10/18,River Plate,Aldosivi,1,0
Primera Division,27/10/18,Gimnasia L.P.,Boca Juniors,2,1
Primera Division,28/10/18,Talleres Cordoba,San Martin T.,0,0
Primera Division,28/10/18,Union de Santa Fe,Godoy Cruz,0,3
Primera Division,28/10/18,Racing Club,San Lorenzo,2,1
Primera Division,28/10/18,Patronato,Rosario Central,2,1
Primera Division,28/10/18,Velez Sarsfield,Belgrano,1,0
Primera Division,28/10/18,Banfield,Estudiantes L.P.,0,2
Primera Division,28/10/18,Atl. Tucuman,Independiente,4,2
Primera Division,29/10/18,Newells Old Boys,Argentinos Jrs,2,0
Primera Division,30/10/18,San Martin S.J.,Defensa y Justicia,0,1
Primera Division,02/11/18,Belgrano,Gimnasia L.P.,2,0
Primera Division,03/11/18,Union de Santa Fe,Patronato,2,2
Primera Division,03/11/18,Aldosivi,Banfield,1,4
Primera Division,03/11/18,Godoy Cruz,Atl. Tucuman,1,0
Primera Division,03/11/18,Estudiantes L.P.,River Plate,1,0
Primera Division,03/11/18,Boca Juniors,Tigre,4,1
Primera Division,04/11/18,Argentinos Jrs,Independiente,0,2
Primera Division,04/11/18,Rosario Central,Colon Santa FE,1,1
Primera Division,04/11/18,San Lorenzo,Talleres Cordoba,0,1
Primera Division,04/11/18,Racing Club,Newells Old Boys,1,0
Primera Division,04/11/18,San Martin T.,San Martin S.J.,2,0
Primera Division,05/11/18,Defensa y Justicia,Velez Sarsfield,3,2
Primera Division,06/11/18,Lanus,Huracan,0,1
