Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Primera Division,03/11/17,Chacarita Juniors,Gimnasia L.P.,2,0
Primera Division,04/11/17,Godoy Cruz,Huracan,2,1
Primera Division,04/11/17,Colon Santa FE,San Martin S.J.,3,3
Primera Division,04/11/17,Lanus,Olimpo Bahia Blanca,0,2
Primera Division,04/11/17,San Lorenzo,Banfield,0,1
Primera Division,04/11/17,Rosario Central,Atl. Tucuman,0,1
Primera Division,05/11/17,Racing Club,Talleres Cordoba,1,1
Primera Division,05/11/17,Temperley,Defensa y Justicia,1,4
Primera Division,05/11/17,Belgrano,Independiente,0,0
Primera Division,05/11/17,Estudiantes L.P.,Argentinos Jrs,1,0
Primera Division,05/11/17,River Plate,Boca Juniors,1,2
Primera Division,06/11/17,Arsenal Sarandi,Tigre,0,0
Primera Division,06/11/17,Patronato,Newells Old Boys,0,0
Primera Division,07/11/17,Velez Sarsfield,Union de Santa Fe,0,2
Primera Division,17/11/17,Argentinos Jrs,Colon Santa FE,0,1
Primera Division,17/11/17,Atl. Tucuman,Arsenal Sarandi,0,0
Primera Division,18/11/17,Newells Old Boys,Belgrano,0,1
Primera Division,18/11/17,Banfield,Temperley,0,0
Primera Division,18/11/17,Defensa y Justicia,Lanus,3,0
Primera Division,18/11/17,San Martin S.J.,San Lorenzo,1,3
Primera Division,19/11/17,Independiente,River Plate,1,0
Primera Division,19/11/17,Tigre,Estudiantes L.P.,2,0
Primera Division,19/11/17,Union de Santa Fe,Chacarita Juniors,0,0
Primera Division,19/11/17,Boca Juniors,Racing Club,1,2
Primera Division,20/11/17,Talleres Cordoba,Rosario Central,0,1
Primera Division,20/11/17,Gimnasia L.P.,Patronato,2,0
Primera Division,20/11/17,Olimpo Bahia Blanca,Godoy Cruz,1,1
Primera Division,21/11/17,Huracan,Velez Sarsfield,1,0
Primera Division,22/11/17,River Plate,Union de Santa Fe,2,0
Primera Division,23/11/17,Velez Sarsfield,Godoy Cruz,0,1
Primera Division,24/11/17,Banfield,Defensa y Justicia,0,1
Primera Division,24/11/17,Chacarita Juniors,Huracan,0,2
Primera Division,25/11/17,Colon Santa FE,Tigre,3,1
Primera Division,25/11/17,Belgrano,Gimnasia L.P.,2,0
Primera Division,25/11/17,Patronato,Union de Santa Fe,2,3
Primera Division,25/11/17,San Lorenzo,Argentinos Jrs,1,0
Primera Division,26/11/17,Racing Club,Independiente,0,1
Primera Division,26/11/17,Estudiantes L.P.,Atl. Tucuman,1,0
Primera Division,26/11/17,River Plate,Newells Old Boys,1,3
Primera Division,27/11/17,Rosario Central,Boca Juniors,1,0
Primera Division,27/11/17,Arsenal Sarandi,Talleres Cordoba,0,1
Primera Division,27/11/17,Velez Sarsfield,Olimpo Bahia Blanca,3,0
Primera Division,28/11/17,Temperley,San Martin S.J.,1,0
Primera Division,30/11/17,San Lorenzo,Atl. Tucuman,2,0
Primera Division,01/12/17,Union de Santa Fe,Belgrano,1,1
Primera Division,01/12/17,Defensa y Justicia,Godoy Cruz,3,2
Primera Division,02/12/17,Huracan,Patronato,1,1
Primera Division,02/12/17,Argentinos Jrs,Temperley,2,2
Primera Division,02/12/17,Olimpo Bahia Blanca,Chacarita Juniors,2,0
Primera Division,03/12/17,Newells Old Boys,Racing Club,2,2
Primera Division,03/12/17,Talleres Cordoba,Estudiantes L.P.,0,1
Primera Division,03/12/17,Tigre,San Lorenzo,1,2
Primera Division,03/12/17,Boca Juniors,Arsenal Sarandi,2,0
Primera Division,04/12/17,Gimnasia L.P.,River Plate,2,1
Primera Division,04/12/17,Lanus,Velez Sarsfield,0,0
Primera Division,04/12/17,Atl. Tucuman,Colon Santa FE,2,0
Primera Division,05/12/17,San Martin S.J.,Banfield,2,1
Primera Division,08/12/17,Temperley,Tigre,2,1
Primera Division,08/12/17,Patronato,Olimpo Bahia Blanca,1,0
Primera Division,09/12/17,Belgrano,Huracan,1,0
Primera Division,09/12/17,Banfield,Argentinos Jrs,2,3
Primera Division,10/12/17,Arsenal Sarandi,Independiente,1,2
Primera Division,10/12/17,Rosario Central,Newells Old Boys,1,0
Primera Division,10/12/17,Colon Santa FE,Talleres Cordoba,0,2
Primera Division,10/12/17,Racing Club,Gimnasia L.P.,3,1
Primera Division,11/12/17,Estudiantes L.P.,Boca Juniors,0,1
Primera Division,11/12/17,San Martin S.J.,Defensa y Justicia,1,0
Primera Division,12/12/17,Chacarita Juniors,Lanus,3,0
Primera Division,25/01/18,Independiente,Rosario Central,1,1
Primera Division,26/01/18,Godoy Cruz,Chacarita Juniors,1,0
Primera Division,26/01/18,Tigre,Banfield,1,2
Primera Division,27/01/18,Talleres Cordoba,San Lorenzo,2,0
Primera Division,27/01/18,Defensa y Justicia,Velez Sarsfield,0,1
Primera Division,27/01/18,Newells Old Boys,Arsenal Sarandi,2,1
Primera Division,27/01/18,Lanus,Patronato,1,1
Primera Division,28/01/18,Boca Juniors,Colon Santa FE,2,0
Primera Division,28/01/18,Argentinos Jrs,San Martin S.J.,2,0
Primera Division,28/01/18,Olimpo Bahia Blanca,Belgrano,1,2
Primera Division,28/01/18,Huracan,River Plate,1,0
Primera Division,29/01/18,Union de Santa Fe,Racing Club,2,1
Primera Division,29/01/18,Atl. Tucuman,Temperley,3,0
Primera Division,29/01/18,Gimnasia L.P.,Rosario Central,2,1
Primera Division,30/01/18,Independiente,Estudiantes L.P.,1,2
Primera Division,02/02/18,Argentinos Jrs,Defensa y Justicia,2,1
Primera Division,02/02/18,Patronato,Godoy Cruz,0,0
Primera Division,03/02/18,Belgrano,Lanus,0,0
Primera Division,03/02/18,Banfield,Atl. Tucuman,0,0
Primera Division,03/02/18,Rosario Central,Union de Santa Fe,1,0
Primera Division,03/02/18,Colon Santa FE,Independiente,0,1
Primera Division,04/02/18,River Plate,Olimpo Bahia Blanca,2,0
Primera Division,04/02/18,Arsenal Sarandi,Gimnasia L.P.,0,0
Primera Division,04/02/18,Estudiantes L.P.,Newells Old Boys,4,2
Primera Division,04/02/18,San Lorenzo,Boca Juniors,1,1
Primera Division,05/02/18,Racing Club,Huracan,4,0
Primera Division,05/02/18,Chacarita Juniors,Velez Sarsfield,2,0
Primera Division,05/02/18,Temperley,Talleres Cordoba,0,1
Primera Division,06/02/18,San Martin S.J.,Tigre,0,0
Primera Division,08/02/18,Godoy Cruz,Lanus,4,1
Primera Division,09/02/18,Defensa y Justicia,Chacarita Juniors,4,2
Primera Division,09/02/18,Union de Santa Fe,Arsenal Sarandi,0,0
Primera Division,10/02/18,Newells Old Boys,Colon Santa FE,0,1
Primera Division,10/02/18,Gimnasia L.P.,Estudiantes L.P.,0,0
Primera Division,10/02/18,Velez Sarsfield,Patronato,0,2
Primera Division,10/02/18,Olimpo Bahia Blanca,Racing Club,1,2
Primera Division,11/02/18,Godoy Cruz,Belgrano,2,1
Primera Division,11/02/18,Talleres Cordoba,Banfield,1,0
Primera Division,11/02/18,Boca Juniors,Temperley,1,0
Primera Division,12/02/18,Lanus,River Plate,1,0
Primera Division,12/02/18,Atl. Tucuman,San Martin S.J.,2,1
