Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Primera Division,05/02/16,Banfield,Gimnasia L.P.,2,0
Primera Division,05/02/16,Huracan,Atl. Rafaela,0,1
Primera Division,06/02/16,Rosario Central,Godoy Cruz,1,0
Primera Division,06/02/16,Aldosivi,Olimpo Bahia Blanca,3,0
Primera Division,06/02/16,Argentinos Jrs,Tigre,1,1
Primera Division,06/02/16,Patronato,San Lorenzo,2,2
Primera Division,06/02/16,San Martin S.J.,Newells Old Boys,2,1
Primera Division,07/02/16,Temperley,Boca Juniors,0,0
Primera Division,07/02/16,Defensa y Justicia,Union de Santa Fe,2,2
Primera Division,07/02/16,Independiente,Belgrano,1,0
Primera Division,07/02/16,Colon Santa FE,Arsenal Sarandi,2,1
Primera Division,08/02/16,Atl. Tucuman,Racing Club,2,1
Primera Division,08/02/16,Estudiantes L.P.,Lanus,0,1
Primera Division,08/02/16,River Plate,Quilmes,5,1
Primera Division,09/02/16,Sarmiento Junin,Velez Sarsfield,1,0
Primera Division,12/02/16,Arsenal Sarandi,Banfield,3,1
Primera Division,12/02/16,Union de Santa Fe,Temperley,3,0
Primera Division,13/02/16,Godoy Cruz,Independiente,1,1
Primera Division,13/02/16,Quilmes,Colon Santa FE,2,4
Primera Division,13/02/16,Aldosivi,Argentinos Jrs,3,2
Primera Division,13/02/16,Atl. Rafaela,Estudiantes L.P.,0,1
Primera Division,13/02/16,San Lorenzo,Sarmiento Junin,2,1
Primera Division,14/02/16,Racing Club,San Martin S.J.,2,2
Primera Division,14/02/16,Velez Sarsfield,Olimpo Bahia Blanca,2,1
Primera Division,14/02/16,Lanus,Defensa y Justicia,2,1
Primera Division,14/02/16,Rosario Central,Newells Old Boys,2,0
Primera Division,14/02/16,Gimnasia L.P.,Patronato,3,2
Primera Division,14/02/16,Boca Juniors,Atl. Tucuman,0,1
Primera Division,15/02/16,Belgrano,River Plate,3,2
Primera Division,16/02/16,Banfield,Quilmes,1,1
Primera Division,16/02/16,Olimpo Bahia Blanca,San Lorenzo,0,2
Primera Division,17/02/16,Argentinos Jrs,Velez Sarsfield,0,3
Primera Division,17/02/16,Defensa y Justicia,Atl. Rafaela,4,1
Primera Division,17/02/16,Newells Old Boys,Racing Club,5,0
Primera Division,17/02/16,Independiente,Rosario Central,0,2
Primera Division,17/02/16,Patronato,Arsenal Sarandi,0,0
Primera Division,18/02/16,San Martin S.J.,Boca Juniors,0,1
Primera Division,18/02/16,Sarmiento Junin,Gimnasia L.P.,1,3
Primera Division,18/02/16,Estudiantes L.P.,Tigre,1,1
Primera Division,18/02/16,Colon Santa FE,Belgrano,3,0
Primera Division,18/02/16,Temperley,Lanus,0,1
Primera Division,19/02/16,Atl. Tucuman,Union de Santa Fe,2,0
Primera Division,19/02/16,River Plate,Godoy Cruz,1,2
Primera Division,20/02/16,San Lorenzo,Velez Sarsfield,3,2
Primera Division,20/02/16,Gimnasia L.P.,Olimpo Bahia Blanca,1,0
Primera Division,21/02/16,Boca Juniors,Newells Old Boys,4,1
Primera Division,21/02/16,Belgrano,Banfield,0,0
Primera Division,21/02/16,Tigre,Defensa y Justicia,0,2
Primera Division,21/02/16,Godoy Cruz,Colon Santa FE,4,1
Primera Division,21/02/16,Independiente,Racing Club,1,1
Primera Division,22/02/16,Rosario Central,River Plate,3,3
Primera Division,22/02/16,Quilmes,Patronato,2,2
Primera Division,23/02/16,Arsenal Sarandi,Sarmiento Junin,2,0
Primera Division,23/02/16,Union de Santa Fe,San Martin S.J.,1,1
Primera Division,23/02/16,Atl. Rafaela,Temperley,0,2
Primera Division,24/02/16,Aldosivi,Estudiantes L.P.,1,2
Primera Division,24/02/16,Lanus,Atl. Tucuman,1,0
Primera Division,26/02/16,Newells Old Boys,Union de Santa Fe,1,1
Primera Division,27/02/16,Banfield,Godoy Cruz,2,3
Primera Division,27/02/16,Estudiantes L.P.,Argentinos Jrs,4,1
Primera Division,27/02/16,Sarmiento Junin,Quilmes,2,2
Primera Division,27/02/16,Defensa y Justicia,Aldosivi,4,0
Primera Division,27/02/16,Huracan,San Lorenzo,1,1
Primera Division,28/02/16,Patronato,Belgrano,2,1
Primera Division,28/02/16,Colon Santa FE,Rosario Central,0,3
Primera Division,28/02/16,Atl. Tucuman,Atl. Rafaela,3,0
Primera Division,28/02/16,Olimpo Bahia Blanca,Arsenal Sarandi,2,1
Primera Division,28/02/16,Racing Club,Boca Juniors,1,0
Primera Division,29/02/16,San Martin S.J.,Lanus,2,2
Primera Division,29/02/16,Velez Sarsfield,Gimnasia L.P.,2,1
Primera Division,01/03/16,River Plate,Independiente,1,0
Primera Division,01/03/16,Temperley,Tigre,2,0
Primera Division,04/03/16,Quilmes,Olimpo Bahia Blanca,1,1
Primera Division,04/03/16,Argentinos Jrs,Defensa y Justicia,1,5
Primera Division,05/03/16,Arsenal Sarandi,Velez Sarsfield,1,0
Primera Division,05/03/16,Lanus,Newells Old Boys,3,0
Primera Division,05/03/16,Atl. Rafaela,San Martin S.J.,1,2
Primera Division,05/03/16,Huracan,Estudiantes L.P.,1,0
Primera Division,05/03/16,Belgrano,Sarmiento Junin,3,0
Primera Division,05/03/16,Gimnasia L.P.,San Lorenzo,0,0
Primera Division,06/03/16,Independiente,Colon Santa FE,4,1
Primera Division,06/03/16,River Plate,Boca Juniors,0,0
Primera Division,06/03/16,Rosario Central,Banfield,2,2
Primera Division,06/03/16,Aldosivi,Temperley,1,1
Primera Division,07/03/16,Union de Santa Fe,Racing Club,3,6
Primera Division,07/03/16,Tigre,Atl. Tucuman,5,0
Primera Division,08/03/16,Godoy Cruz,Patronato,3,1
Primera Division,11/03/16,Racing Club,Lanus,2,1
Primera Division,12/03/16,Newells Old Boys,Atl. Rafaela,1,1
Primera Division,12/03/16,Defensa y Justicia,Huracan,0,2
Primera Division,12/03/16,Olimpo Bahia Blanca,Belgrano,2,0
Primera Division,12/03/16,Banfield,Independiente,1,3
Primera Division,12/03/16,San Martin S.J.,Tigre,1,0
Primera Division,12/03/16,San Lorenzo,Arsenal Sarandi,0,2
Primera Division,13/03/16,Temperley,Argentinos Jrs,0,0
Primera Division,13/03/16,Estudiantes L.P.,Gimnasia L.P.,3,0
Primera Division,13/03/16,Patronato,Rosario Central,1,0
Primera Division,13/03/16,Atl. Tucuman,Aldosivi,1,1
Primera Division,13/03/16,Colon Santa FE,River Plate,4,1
Primera Division,14/03/16,Sarmiento Junin,Godoy Cruz,0,0
Primera Division,15/03/16,Boca Juniors,Union de Santa Fe,2,1
Primera Division,17/03/16,Tigre,Huracan,1,2
Primera Division,18/03/16,Aldosivi,San Martin S.J.,2,2
Primera Division,18/03/16,Arsenal Sarandi,Gimnasia L.P.,0,1
Primera Division,19/03/16,Estudiantes L.P.,Defensa y Justicia,2,1
Primera Division,19/03/16,Belgrano,Velez Sarsfield,2,3
Primera Division,19/03/16,Colon Santa FE,Union de Santa Fe,0,3
Primera Division,19/03/16,Argentinos Jrs,Atl. Tucuman,0,3
Primera Division,19/03/16,Godoy Cruz,Olimpo Bahia Blanca,1,0
Primera Division,19/03/16,Independiente,Patronato,2,1
Primera Division,20/03/16,Quilmes,San Lorenzo,3,0
Primera Division,20/03/16,River Plate,Banfield,1,1
Primera Division,20/03/16,Huracan,Temperley,4,2
Primera Division,20/03/16,Lanus,Boca Juniors,2,0
Primera Division,21/03/16,Rosario Central,Sarmiento Junin,1,0
Primera Division,22/03/16,Atl. Rafaela,Racing Club,3,6
Primera Division,22/03/16,Tigre,Newells Old Boys,3,3
Primera Division,24/03/16,Huracan,Aldosivi,2,0
Primera Division,28/03/16,Velez Sarsfield,Quilmes,1,2
Primera Division,29/03/16,Argentinos Jrs,Huracan,0,0
Primera Division,01/04/16,Atl. Tucuman,Huracan,2,1
Primera Division,02/04/16,Olimpo Bahia Blanca,Rosario Central,1,1
Primera Division,02/04/16,Temperley,Estudiantes L.P.,1,3
Primera Division,02/04/16,Racing Club,Tigre,3,3
Primera Division,02/04/16,Boca Juniors,Atl. Rafaela,3,0
Primera Division,03/04/16,Banfield,Colon Santa FE,1,1
Primera Division,03/04/16,Patronato,River Plate,2,1
Primera Division,03/04/16,Newells Old Boys,Aldosivi,1,1
Primera Division,03/04/16,San Lorenzo,Belgrano,3,2
Primera Division,03/04/16,San Martin S.J.,Argentinos Jrs,2,0
Primera Division,03/04/16,Defensa y Justicia,Arsenal Sarandi,0,1
Primera Division,03/04/16,Velez Sarsfield,Godoy Cruz,1,4
Primera Division,04/04/16,Sarmiento Junin,Independiente,0,0
Primera Division,05/04/16,Gimnasia L.P.,Quilmes,1,0
Primera Division,05/04/16,Union de Santa Fe,Lanus,0,4
Primera Division,09/04/16,Colon Santa FE,Patronato,2,2
Primera Division,09/04/16,Godoy Cruz,San Lorenzo,0,1
Primera Division,09/04/16,Huracan,San Martin S.J.,4,3
Primera Division,09/04/16,Defensa y Justicia,Temperley,2,1
Primera Division,09/04/16,River Plate,Sarmiento Junin,2,2
Primera Division,10/04/16,Independiente,Olimpo Bahia Blanca,0,0
Primera Division,10/04/16,Banfield,Lanus,0,2
