Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Liga 1,16/10/17,Poli Timisoara,Concordia,0,3
Liga 1,16/10/17,Din. Bucuresti,FC Juventus Bucuresti,3,0
Liga 1,20/10/17,Gaz Metan Medias,Poli Iasi,0,2
Liga 1,20/10/17,Concordia,CS U. Craiova,1,2
Liga 1,21/10/17,FC Juventus Bucuresti,Sepsi,2,1
Liga 1,21/10/17,Viitorul Constanta,CFR Cluj,1,0
Liga 1,22/10/17,Astra,Voluntari,2,3
Liga 1,22/10/17,FC Steaua Bucuresti,Poli Timisoara,7,0
Liga 1,23/10/17,FC Botosani,Din. Bucuresti,0,0
Liga 1,27/10/17,Poli Iasi,Concordia,3,1
Liga 1,28/10/17,Voluntari,FC Juventus Bucuresti,0,0
Liga 1,28/10/17,Poli Timisoara,Astra,2,1
Liga 1,29/10/17,CFR Cluj,Gaz Metan Medias,0,0
Liga 1,29/10/17,CS U. Craiova,FC Steaua Bucuresti,2,5
Liga 1,30/10/17,Sepsi,FC Botosani,0,2
Liga 1,30/10/17,Din. Bucuresti,Viitorul Constanta,0,4
Liga 1,03/11/17,FC Botosani,Voluntari,1,0
Liga 1,03/11/17,Astra,CS U. Craiova,2,2
Liga 1,04/11/17,Viitorul Constanta,Sepsi,3,0
Liga 1,04/11/17,Gaz Metan Medias,Din. Bucuresti,0,3
Liga 1,05/11/17,CFR Cluj,Poli Iasi,1,0
Liga 1,05/11/17,FC Steaua Bucuresti,Concordia,2,1
Liga 1,06/11/17,FC Juventus Bucuresti,Poli Timisoara,1,1
Liga 1,17/11/17,Poli Timisoara,FC Botosani,1,1
Liga 1,17/11/17,Poli Iasi,FC Steaua Bucuresti,1,0
Liga 1,18/11/17,Sepsi,Gaz Metan Medias,0,0
Liga 1,18/11/17,CS U. Craiova,FC Juventus Bucuresti,3,1
Liga 1,19/11/17,Concordia,Astra,1,2
Liga 1,19/11/17,Din. Bucuresti,CFR Cluj,0,2
Liga 1,20/11/17,Voluntari,Viitorul Constanta,0,0
Liga 1,24/11/17,FC Juventus Bucuresti,Concordia,0,5
Liga 1,24/11/17,FC Botosani,CS U. Craiova,1,0
Liga 1,25/11/17,Viitorul Constanta,Poli Timisoara,1,1
Liga 1,25/11/17,Din. Bucuresti,Poli Iasi,2,1
Liga 1,26/11/17,Gaz Metan Medias,Voluntari,1,1
Liga 1,26/11/17,Astra,FC Steaua Bucuresti,2,0
Liga 1,27/11/17,CFR Cluj,Sepsi,2,0
Liga 1,01/12/17,Voluntari,CFR Cluj,0,3
Liga 1,02/12/17,Concordia,FC Botosani,3,0
Liga 1,02/12/17,CS U. Craiova,Viitorul Constanta,3,1
Liga 1,03/12/17,Poli Iasi,Astra,1,0
Liga 1,03/12/17,FC Steaua Bucuresti,FC Juventus Bucuresti,4,0
Liga 1,04/12/17,Poli Timisoara,Gaz Metan Medias,1,1
Liga 1,04/12/17,Sepsi,Din. Bucuresti,0,3
Liga 1,08/12/17,FC Juventus Bucuresti,Astra,0,1
Liga 1,09/12/17,Viitorul Constanta,Concordia,3,0
Liga 1,09/12/17,CFR Cluj,Poli Timisoara,1,0
Liga 1,10/12/17,Gaz Metan Medias,CS U. Craiova,0,0
Liga 1,10/12/17,FC Botosani,FC Steaua Bucuresti,0,3
Liga 1,11/12/17,Sepsi,Poli Iasi,2,1
Liga 1,11/12/17,Din. Bucuresti,Voluntari,2,0
Liga 1,15/12/17,Astra,FC Botosani,2,1
Liga 1,16/12/17,Concordia,Gaz Metan Medias,1,1
Liga 1,16/12/17,CS U. Craiova,CFR Cluj,2,1
Liga 1,17/12/17,Poli Iasi,FC Juventus Bucuresti,3,1
Liga 1,17/12/17,FC Steaua Bucuresti,Viitorul Constanta,2,0
Liga 1,18/12/17,Voluntari,Sepsi,3,0
Liga 1,18/12/17,Poli Timisoara,Din. Bucuresti,0,0
Liga 1,02/02/18,Sepsi,Poli Timisoara,1,0
Liga 1,02/02/18,Viitorul Constanta,Astra,1,1
Liga 1,03/02/18,Voluntari,Poli Iasi,0,4
Liga 1,03/02/18,Gaz Metan Medias,FC Steaua Bucuresti,1,2
Liga 1,04/02/18,FC Botosani,FC Juventus Bucuresti,0,0
Liga 1,04/02/18,Din. Bucuresti,CS U. Craiova,2,2
Liga 1,05/02/18,CFR Cluj,Concordia,2,0
Liga 1,09/02/18,Poli Timisoara,Voluntari,2,3
Liga 1,09/02/18,Astra,Gaz Metan Medias,4,3
Liga 1,10/02/18,FC Juventus Bucuresti,Viitorul Constanta,0,1
Liga 1,10/02/18,FC Steaua Bucuresti,CFR Cluj,1,1
Liga 1,11/02/18,CS U. Craiova,Sepsi,1,0
Liga 1,12/02/18,Poli Iasi,FC Botosani,1,0
Liga 1,12/02/18,Concordia,Din. Bucuresti,3,4
Liga 1,16/02/18,Gaz Metan Medias,FC Juventus Bucuresti,0,0
Liga 1,16/02/18,Voluntari,CS U. Craiova,0,1
Liga 1,17/02/18,Sepsi,Concordia,1,1
Liga 1,17/02/18,CFR Cluj,Astra,2,0
Liga 1,18/02/18,Poli Timisoara,Poli Iasi,1,2
Liga 1,18/02/18,Din. Bucuresti,FC Steaua Bucuresti,2,2
Liga 1,19/02/18,Viitorul Constanta,FC Botosani,2,1
Liga 1,23/02/18,CS U. Craiova,Poli Timisoara,1,1
Liga 1,24/02/18,FC Botosani,Gaz Metan Medias,1,0
Liga 1,24/02/18,Astra,Din. Bucuresti,2,0
Liga 1,24/02/18,Poli Iasi,Viitorul Constanta,0,1
Liga 1,25/02/18,FC Juventus Bucuresti,CFR Cluj,0,2
Liga 1,25/02/18,FC Steaua Bucuresti,Sepsi,2,0
Liga 1,27/02/18,Concordia,Voluntari,3,1
Liga 1,09/03/18,FC Botosani,FC Juventus Bucuresti,0,0
Liga 1,09/03/18,CFR Cluj,Poli Iasi,2,1
Liga 1,10/03/18,Concordia,Sepsi,1,1
Liga 1,10/03/18,CS U. Craiova,Astra,1,0
Liga 1,11/03/18,Voluntari,Poli Timisoara,1,0
Liga 1,11/03/18,FC Steaua Bucuresti,Viitorul Constanta,2,1
Liga 1,12/03/18,Din. Bucuresti,Gaz Metan Medias,3,0
Liga 1,16/03/18,FC Juventus Bucuresti,Poli Timisoara,1,0
Liga 1,16/03/18,Viitorul Constanta,CS U. Craiova,0,0
Liga 1,17/03/18,Gaz Metan Medias,Concordia,2,1
Liga 1,18/03/18,CFR Cluj,FC Steaua Bucuresti,1,1
Liga 1,19/03/18,Sepsi,Voluntari,2,2
Liga 1,30/03/18,Concordia,FC Botosani,0,0
Liga 1,30/03/18,Din. Bucuresti,FC Juventus Bucuresti,1,2
Liga 1,31/03/18,Voluntari,Gaz Metan Medias,1,2
Liga 1,31/03/18,CS U. Craiova,CFR Cluj,0,0
Liga 1,01/04/18,Astra,Viitorul Constanta,0,2
Liga 1,01/04/18,FC Steaua Bucuresti,Poli Iasi,1,0
Liga 1,02/04/18,Poli Timisoara,Sepsi,2,2
Liga 1,03/04/18,FC Botosani,Din. Bucuresti,0,1
Liga 1,06/04/18,Poli Iasi,Viitorul Constanta,0,2
Liga 1,07/04/18,FC Botosani,Voluntari,1,0
Liga 1,07/04/18,Din. Bucuresti,Concordia,3,1
Liga 1,08/04/18,CFR Cluj,Astra,1,1
Liga 1,09/04/18,Gaz Metan Medias,Poli Timisoara,1,1
Liga 1,09/04/18,FC Juventus Bucuresti,Sepsi,0,2
Liga 1,09/04/18,FC Steaua Bucuresti,CS U. Craiova,2,0
Liga 1,13/04/18,Voluntari,Din. Bucuresti,2,4
Liga 1,14/04/18,Sepsi,Gaz Metan Medias,2,1
Liga 1,14/04/18,CS U. Craiova,Poli Iasi,4,1
Liga 1,15/04/18,Concordia,FC Juventus Bucuresti,2,1
Liga 1,15/04/18,Viitorul Constanta,CFR Cluj,1,2
Liga 1,16/04/18,Poli Timisoara,FC Botosani,0,1
Liga 1,16/04/18,Astra,FC Steaua Bucuresti,0,3
Liga 1,20/04/18,Din. Bucuresti,Poli Timisoara,1,0
Liga 1,21/04/18,Concordia,Voluntari,0,1
Liga 1,21/04/18,Viitorul Constanta,FC Steaua Bucuresti,2,2
Liga 1,22/04/18,FC Juventus Bucuresti,Gaz Metan Medias,0,3
Liga 1,22/04/18,Poli Iasi,CFR Cluj,1,1
Liga 1,23/04/18,FC Botosani,Sepsi,2,2
Liga 1,23/04/18,Astra,CS U. Craiova,1,0
Liga 1,26/04/18,Poli Iasi,Astra,0,3
