Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Liga 1,22/07/16,Voluntari,FC Viitorul,0,1
Liga 1,22/07/16,Pandurii,CS U. Craiova,2,1
Liga 1,23/07/16,Gaz Metan Medias,Targu Mures,2,1
Liga 1,23/07/16,Astra,Din. Bucuresti,1,4
Liga 1,24/07/16,CFR Cluj,Concordia,2,0
Liga 1,29/07/16,Poli Iasi,Gaz Metan Medias,3,1
Liga 1,30/07/16,FC Botosani,CFR Cluj,3,1
Liga 1,30/07/16,Din. Bucuresti,Poli Timisoara,2,1
Liga 1,31/07/16,Pandurii,Astra,0,0
Liga 1,31/07/16,FC Viitorul,FC Steaua Bucuresti,1,3
Liga 1,01/08/16,CS U. Craiova,Targu Mures,2,1
Liga 1,01/08/16,Concordia,Voluntari,0,4
Liga 1,05/08/16,Voluntari,FC Botosani,4,2
Liga 1,05/08/16,Targu Mures,Poli Iasi,0,3
Liga 1,06/08/16,Astra,CS U. Craiova,1,2
Liga 1,06/08/16,FC Steaua Bucuresti,Concordia,1,0
Liga 1,07/08/16,Gaz Metan Medias,FC Viitorul,2,1
Liga 1,07/08/16,Poli Timisoara,Pandurii,1,3
Liga 1,08/08/16,CFR Cluj,Din. Bucuresti,0,0
Liga 1,12/08/16,FC Botosani,FC Steaua Bucuresti,0,2
Liga 1,13/08/16,Concordia,Gaz Metan Medias,1,0
Liga 1,13/08/16,Astra,Poli Timisoara,3,1
Liga 1,14/08/16,Pandurii,CFR Cluj,1,1
Liga 1,14/08/16,FC Viitorul,Targu Mures,3,1
Liga 1,15/08/16,CS U. Craiova,Poli Iasi,2,0
Liga 1,15/08/16,Din. Bucuresti,Voluntari,3,1
Liga 1,18/08/16,Poli Timisoara,FC Botosani,0,5
Liga 1,19/08/16,Poli Iasi,FC Viitorul,0,0
Liga 1,20/08/16,Targu Mures,Concordia,0,1
Liga 1,20/08/16,FC Steaua Bucuresti,Din. Bucuresti,1,1
Liga 1,21/08/16,Voluntari,Pandurii,0,0
Liga 1,21/08/16,CFR Cluj,Astra,5,1
Liga 1,22/08/16,Gaz Metan Medias,FC Botosani,0,0
Liga 1,22/08/16,Poli Timisoara,CS U. Craiova,3,2
Liga 1,26/08/16,Concordia,Poli Iasi,0,0
Liga 1,26/08/16,Din. Bucuresti,Gaz Metan Medias,1,1
Liga 1,27/08/16,Poli Timisoara,CFR Cluj,1,1
Liga 1,27/08/16,Pandurii,FC Steaua Bucuresti,0,1
Liga 1,28/08/16,CS U. Craiova,FC Viitorul,2,1
Liga 1,28/08/16,Astra,Voluntari,1,1
Liga 1,29/08/16,FC Botosani,Targu Mures,4,2
Liga 1,31/08/16,FC Steaua Bucuresti,Poli Iasi,1,1
Liga 1,09/09/16,Gaz Metan Medias,Pandurii,1,3
Liga 1,10/09/16,Voluntari,Poli Timisoara,4,1
Liga 1,10/09/16,CFR Cluj,CS U. Craiova,0,0
Liga 1,11/09/16,Poli Iasi,FC Botosani,0,1
Liga 1,11/09/16,FC Steaua Bucuresti,Astra,1,0
Liga 1,12/09/16,FC Viitorul,Concordia,2,1
Liga 1,12/09/16,Targu Mures,Din. Bucuresti,2,1
Liga 1,16/09/16,FC Botosani,FC Viitorul,1,2
Liga 1,16/09/16,Pandurii,Targu Mures,1,0
Liga 1,17/09/16,CFR Cluj,Voluntari,5,0
Liga 1,17/09/16,Din. Bucuresti,Poli Iasi,3,1
Liga 1,18/09/16,CS U. Craiova,Concordia,1,1
Liga 1,18/09/16,Poli Timisoara,FC Steaua Bucuresti,0,1
Liga 1,19/09/16,Astra,Gaz Metan Medias,0,2
Liga 1,20/09/16,Poli Iasi,Pandurii,3,2
Liga 1,20/09/16,FC Viitorul,Din. Bucuresti,1,1
Liga 1,21/09/16,Voluntari,CS U. Craiova,0,1
Liga 1,21/09/16,Concordia,FC Botosani,0,2
Liga 1,22/09/16,Gaz Metan Medias,Poli Timisoara,1,1
Liga 1,22/09/16,Targu Mures,Astra,0,2
Liga 1,22/09/16,FC Steaua Bucuresti,CFR Cluj,1,2
Liga 1,23/09/16,Pandurii,FC Viitorul,0,1
Liga 1,24/09/16,CS U. Craiova,FC Botosani,1,0
Liga 1,24/09/16,Din. Bucuresti,Concordia,0,1
Liga 1,25/09/16,Poli Timisoara,Targu Mures,0,1
Liga 1,25/09/16,Voluntari,FC Steaua Bucuresti,2,3
Liga 1,26/09/16,CFR Cluj,Gaz Metan Medias,1,1
Liga 1,26/09/16,Astra,Poli Iasi,1,0
Liga 1,30/09/16,Poli Iasi,Poli Timisoara,0,1
Liga 1,30/09/16,Targu Mures,CFR Cluj,1,3
Liga 1,01/10/16,Gaz Metan Medias,Voluntari,1,0
Liga 1,01/10/16,FC Botosani,Din. Bucuresti,2,1
Liga 1,02/10/16,FC Viitorul,Astra,1,0
Liga 1,02/10/16,FC Steaua Bucuresti,CS U. Craiova,2,1
Liga 1,03/10/16,Concordia,Pandurii,0,0
Liga 1,14/10/16,CFR Cluj,Poli Iasi,1,0
Liga 1,15/10/16,Pandurii,FC Botosani,2,1
Liga 1,15/10/16,Astra,Concordia,1,1
Liga 1,16/10/16,Voluntari,Targu Mures,1,1
Liga 1,16/10/16,FC Steaua Bucuresti,Gaz Metan Medias,0,1
Liga 1,17/10/16,Poli Timisoara,FC Viitorul,1,0
Liga 1,17/10/16,CS U. Craiova,Din. Bucuresti,2,1
