Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Liga 1,20/07/18,CFR Cluj,FC Botosani,1,1
Liga 1,21/07/18,FC Hermannstadt,Sepsi,1,0
Liga 1,21/07/18,Astra,FC Steaua Bucuresti,1,0
Liga 1,22/07/18,FC Viitorul,Calarasi,0,1
Liga 1,22/07/18,Din. Bucuresti,Voluntari,2,1
Liga 1,23/07/18,Gaz Metan Medias,Concordia,2,1
Liga 1,23/07/18,CS U. Craiova,Poli Iasi,0,0
Liga 1,27/07/18,FC Botosani,FC Hermannstadt,2,0
Liga 1,28/07/18,Calarasi,CFR Cluj,0,0
Liga 1,28/07/18,Poli Iasi,Astra,1,1
Liga 1,29/07/18,Sepsi,U Craiova 1948 CS,1,0
Liga 1,29/07/18,FC Steaua Bucuresti,Din. Bucuresti,3,3
Liga 1,30/07/18,Voluntari,Gaz Metan Medias,1,1
Liga 1,30/07/18,Concordia,FC Viitorul,1,1
Liga 1,03/08/18,U Craiova 1948 CS,FC Botosani,2,2
Liga 1,04/08/18,Astra,Sepsi,1,1
Liga 1,04/08/18,CFR Cluj,Concordia,2,1
Liga 1,05/08/18,FC Hermannstadt,Calarasi,1,1
Liga 1,05/08/18,FC Steaua Bucuresti,Poli Iasi,4,0
Liga 1,06/08/18,FC Viitorul,Voluntari,2,0
Liga 1,06/08/18,Gaz Metan Medias,Din. Bucuresti,3,2
Liga 1,10/08/18,FC Botosani,Astra,1,1
Liga 1,11/08/18,Concordia,FC Hermannstadt,2,0
Liga 1,11/08/18,Sepsi,Poli Iasi,3,0
Liga 1,12/08/18,Calarasi,U Craiova 1948 CS,1,3
Liga 1,12/08/18,Voluntari,CFR Cluj,1,2
Liga 1,12/08/18,Gaz Metan Medias,FC Steaua Bucuresti,1,3
Liga 1,13/08/18,Din. Bucuresti,FC Viitorul,1,0
Liga 1,17/08/18,Poli Iasi,FC Botosani,2,1
Liga 1,18/08/18,Astra,Calarasi,1,1
Liga 1,18/08/18,FC Viitorul,Gaz Metan Medias,2,0
Liga 1,19/08/18,FC Steaua Bucuresti,Sepsi,2,0
Liga 1,19/08/18,CFR Cluj,Din. Bucuresti,3,1
Liga 1,20/08/18,FC Hermannstadt,Voluntari,4,0
Liga 1,20/08/18,U Craiova 1948 CS,Concordia,0,1
Liga 1,24/08/18,Concordia,Astra,0,3
Liga 1,25/08/18,Calarasi,Poli Iasi,2,0
Liga 1,25/08/18,Din. Bucuresti,FC Hermannstadt,2,1
Liga 1,26/08/18,Gaz Metan Medias,CFR Cluj,0,0
Liga 1,26/08/18,FC Viitorul,FC Steaua Bucuresti,1,4
Liga 1,27/08/18,FC Botosani,Sepsi,0,0
Liga 1,27/08/18,Voluntari,U Craiova 1948 CS,1,5
Liga 1,31/08/18,Sepsi,Calarasi,1,0
Liga 1,01/09/18,FC Hermannstadt,Gaz Metan Medias,0,1
Liga 1,01/09/18,Astra,Voluntari,0,0
Liga 1,01/09/18,U Craiova 1948 CS,Din. Bucuresti,3,0
Liga 1,02/09/18,CFR Cluj,FC Viitorul,1,2
Liga 1,02/09/18,FC Steaua Bucuresti,FC Botosani,2,2
Liga 1,03/09/18,Poli Iasi,Concordia,3,0
Liga 1,14/09/18,Concordia,Sepsi,0,3
Liga 1,14/09/18,Din. Bucuresti,Astra,1,2
Liga 1,15/09/18,Calarasi,FC Botosani,3,2
Liga 1,15/09/18,Gaz Metan Medias,U Craiova 1948 CS,3,2
Liga 1,16/09/18,Voluntari,Poli Iasi,2,3
Liga 1,16/09/18,CFR Cluj,FC Steaua Bucuresti,1,1
Liga 1,17/09/18,FC Viitorul,FC Hermannstadt,1,0
Liga 1,21/09/18,Sepsi,Voluntari,1,1
Liga 1,21/09/18,Poli Iasi,Din. Bucuresti,1,0
Liga 1,22/09/18,FC Hermannstadt,CFR Cluj,0,1
Liga 1,22/09/18,FC Botosani,Concordia,0,2
Liga 1,22/09/18,U Craiova 1948 CS,FC Viitorul,2,0
Liga 1,23/09/18,FC Steaua Bucuresti,Calarasi,2,0
Liga 1,24/09/18,Astra,Gaz Metan Medias,3,0
Liga 1,28/09/18,Din. Bucuresti,Sepsi,0,0
Liga 1,29/09/18,Voluntari,FC Botosani,1,1
Liga 1,30/09/18,Gaz Metan Medias,Poli Iasi,1,0
Liga 1,30/09/18,FC Viitorul,Astra,1,0
Liga 1,30/09/18,FC Hermannstadt,FC Steaua Bucuresti,1,3
Liga 1,01/10/18,Concordia,Calarasi,1,1
Liga 1,01/10/18,CFR Cluj,U Craiova 1948 CS,0,0
Liga 1,05/10/18,Poli Iasi,FC Viitorul,1,2
Liga 1,06/10/18,U Craiova 1948 CS,FC Hermannstadt,1,1
Liga 1,06/10/18,Astra,CFR Cluj,1,2
Liga 1,07/10/18,Calarasi,Voluntari,1,1
Liga 1,07/10/18,Sepsi,Gaz Metan Medias,1,2
Liga 1,07/10/18,FC Steaua Bucuresti,Concordia,0,1
Liga 1,08/10/18,FC Botosani,Din. Bucuresti,2,0
Liga 1,19/10/18,Voluntari,Concordia,4,0
Liga 1,19/10/18,CFR Cluj,Poli Iasi,1,0
Liga 1,20/10/18,FC Hermannstadt,Astra,0,2
Liga 1,20/10/18,FC Viitorul,Sepsi,2,3
Liga 1,21/10/18,Gaz Metan Medias,FC Botosani,1,2
Liga 1,21/10/18,U Craiova 1948 CS,FC Steaua Bucuresti,2,1
Liga 1,22/10/18,Din. Bucuresti,Calarasi,1,1
Liga 1,26/10/18,Poli Iasi,FC Hermannstadt,0,2
Liga 1,26/10/18,Astra,U Craiova 1948 CS,0,3
Liga 1,27/10/18,FC Botosani,FC Viitorul,1,2
Liga 1,27/10/18,FC Steaua Bucuresti,Voluntari,2,1
Liga 1,28/10/18,Calarasi,Gaz Metan Medias,0,0
Liga 1,28/10/18,Sepsi,CFR Cluj,1,2
Liga 1,29/10/18,Concordia,Din. Bucuresti,0,0
Liga 1,02/11/18,Poli Iasi,U Craiova 1948 CS,0,3
Liga 1,03/11/18,Sepsi,FC Hermannstadt,1,3
Liga 1,03/11/18,FC Botosani,CFR Cluj,1,5
Liga 1,04/11/18,Calarasi,Viitorul Constanta,0,1
