portugalia_1_2017,Meciuri:,306,,,,,
0,18.52,18.95,0.43,27.96,29.41,1.45
1,31.23,29.74,-1.49,35.63,36.27,0.64
2,26.33,26.14,-0.19,22.71,20.26,-2.45
3,14.8,17.32,2.52,9.65,8.82,-0.83
4,6.24,4.58,-1.66,3.07,3.59,0.52
,,,,,,
turcia_1_2016,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,22.02,25.49,3.47,30.34,32.35,2.01
1,33.32,30.07,-3.25,36.19,35.95,-0.24
2,25.21,24.18,-1.03,21.58,17.97,-3.61
3,12.72,12.09,-0.63,8.58,9.48,0.9
4,4.81,5.23,0.42,2.56,2.29,-0.27
,,,,,,
turcia_1_2018,Meciuri:,99,,,,,
G,PA,A,dA,PD,D,dD
0,21.98,20.2,-1.78,37.92,39.39,1.47
1,33.3,36.36,3.06,36.77,36.36,-0.41
2,25.23,26.26,1.03,17.83,13.13,-4.7
3,12.74,9.09,-3.65,5.76,10.1,4.34
4,4.83,6.06,1.23,1.4,1.01,-0.39
,,,,,,
brazilia_1_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,22.67,20.79,-1.88,40.02,41.05,1.03
1,33.64,35.26,1.62,36.65,33.95,-2.7
2,24.97,25.0,0.03,16.78,18.95,2.17
3,12.35,13.95,1.6,5.12,4.47,-0.65
4,4.58,3.68,-0.9,1.17,1.58,0.41
,,,,,,
brazilia_1_2018,Meciuri:,320,,,,,
G,PA,A,dA,PD,D,dD
0,24.28,23.12,-1.16,43.69,44.06,0.37
1,34.37,34.69,0.32,36.18,36.88,0.7
2,24.33,25.62,1.29,14.98,12.81,-2.17
3,11.48,12.19,0.71,4.13,4.69,0.56
4,4.06,2.81,-1.25,0.86,1.56,0.7
,,,,,,
brazilia_1_2017,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,25.05,23.16,-1.89,35.18,35.0,-0.18
1,34.68,37.37,2.69,36.75,35.79,-0.96
2,24.0,23.68,-0.32,19.2,21.58,2.38
3,11.07,11.05,-0.02,6.69,5.79,-0.9
4,3.83,3.42,-0.41,1.75,1.32,-0.43
,,,,,,
italia_1_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,19.0,20.26,1.26,27.4,27.37,-0.03
1,31.56,32.37,0.81,35.47,38.95,3.48
2,26.2,22.63,-3.57,22.96,18.42,-4.54
3,14.5,15.26,0.76,9.91,10.26,0.35
4,6.02,6.32,0.3,3.21,2.89,-0.32
,,,,,,
italia_2_2016,Meciuri:,462,,,,,
G,PA,A,dA,PD,D,dD
0,27.47,25.11,-2.36,39.94,38.53,-1.41
1,35.49,35.71,0.22,36.66,40.91,4.25
2,22.93,27.49,4.56,16.82,13.85,-2.97
3,9.88,8.44,-1.44,5.15,4.11,-1.04
4,3.19,3.03,-0.16,1.18,2.16,0.98
,,,,,,
italia_2_2018,Meciuri:,96,,,,,
G,PA,A,dA,PD,D,dD
0,23.02,14.58,-8.44,35.29,29.17,-6.12
1,33.81,43.75,9.94,36.76,45.83,9.07
2,24.83,28.12,3.29,19.14,16.67,-2.47
3,12.16,7.29,-4.87,6.65,8.33,1.68
4,4.46,6.25,1.79,1.73,0.0,-1.73
,,,,,,
italia_1_2017,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,23.33,26.58,3.25,29.49,31.32,1.83
1,33.96,31.58,-2.38,36.01,36.32,0.31
2,24.71,22.63,-2.08,21.99,18.42,-3.57
3,11.99,12.11,0.12,8.95,8.95,0.0
4,4.36,4.47,0.11,2.73,3.16,0.43
,,,,,,
italia_2_2017,Meciuri:,462,,,,,
G,PA,A,dA,PD,D,dD
0,23.86,22.08,-1.78,32.45,32.47,0.02
1,34.19,37.88,3.69,36.52,36.8,0.28
2,24.5,22.29,-2.21,20.55,18.83,-1.72
3,11.7,11.9,0.2,7.71,9.96,2.25
4,4.19,4.11,-0.08,2.17,1.52,-0.65
,,,,,,
italia_1_2018,Meciuri:,110,,,,,
G,PA,A,dA,PD,D,dD
0,21.91,25.45,3.54,29.31,31.82,2.51
1,33.27,29.09,-4.18,35.97,31.82,-4.15
2,25.25,25.45,0.2,22.07,23.64,1.57
3,12.78,12.73,-0.05,9.03,9.09,0.06
4,4.85,3.64,-1.21,2.77,1.82,-0.95
,,,,,,
austria_1_2018,Meciuri:,78,,,,,
G,PA,A,dA,PD,D,dD
0,24.72,25.64,0.92,25.69,29.49,3.8
1,34.55,26.92,-7.63,34.91,34.62,-0.29
2,24.14,33.33,9.19,23.72,14.1,-9.62
3,11.24,10.26,-0.98,10.75,16.67,5.92
4,3.93,3.85,-0.08,3.65,3.85,0.2
,,,,,,
austria_1_2016,Meciuri:,180,,,,,
G,PA,A,dA,PD,D,dD
0,21.94,19.44,-2.5,30.29,32.22,1.93
1,33.28,39.44,6.16,36.18,36.67,0.49
2,25.24,20.56,-4.68,21.61,18.89,-2.72
3,12.76,13.33,0.57,8.6,7.22,-1.38
4,4.84,5.0,0.16,2.57,2.78,0.21
,,,,,,
austria_1_2017,Meciuri:,182,,,,,
G,PA,A,dA,PD,D,dD
0,20.55,23.08,2.53,27.34,32.97,5.63
1,32.52,29.67,-2.85,35.46,29.12,-6.34
2,25.73,28.57,2.84,22.99,21.98,-1.01
3,13.57,8.24,-5.33,9.94,9.89,-0.05
4,5.37,6.04,0.67,3.22,3.85,0.63
,,,,,,
franta_2_2017,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,21.56,22.11,0.55,30.44,31.05,0.61
1,33.08,31.32,-1.76,36.2,36.84,0.64
2,25.38,26.58,1.2,21.53,21.58,0.05
3,12.98,12.89,-0.09,8.54,5.0,-3.54
4,4.98,5.53,0.55,2.54,4.21,1.67
,,,,,,
franta_2_2018,Meciuri:,130,,,,,
G,PA,A,dA,PD,D,dD
0,29.89,36.15,6.26,34.86,38.46,3.6
1,36.1,30.77,-5.33,36.74,31.54,-5.2
2,21.8,19.23,-2.57,19.36,17.69,-1.67
3,8.77,6.15,-2.62,6.8,10.77,3.97
4,2.65,5.38,2.73,1.79,1.54,-0.25
,,,,,,
franta_1_2017,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,21.68,24.74,3.06,30.44,30.26,-0.18
1,33.14,30.26,-2.88,36.2,37.63,1.43
2,25.34,23.68,-1.66,21.53,21.05,-0.48
3,12.91,15.79,2.88,8.54,7.11,-1.43
4,4.94,2.37,-2.57,2.54,1.84,-0.7
,,,,,,
franta_1_2018,Meciuri:,120,,,,,
G,PA,A,dA,PD,D,dD
0,21.05,21.67,0.62,31.93,35.83,3.9
1,32.8,34.17,1.37,36.45,32.5,-3.95
2,25.56,22.5,-3.06,20.81,16.67,-4.14
3,13.28,12.5,-0.78,7.92,11.67,3.75
4,5.17,6.67,1.5,2.26,3.33,1.07
,,,,,,
franta_1_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,21.28,23.16,1.88,34.36,38.16,3.8
1,32.93,33.16,0.23,36.71,34.21,-2.5
2,25.48,22.11,-3.37,19.61,16.32,-3.29
3,13.14,12.63,-0.51,6.98,7.89,0.91
4,5.08,5.79,0.71,1.86,1.84,-0.02
,,,,,,
franta_2_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,25.52,26.32,0.8,32.77,33.68,0.91
1,34.85,32.63,-2.22,36.56,36.58,0.02
2,23.8,25.0,1.2,20.4,17.89,-2.51
3,10.84,11.05,0.21,7.59,8.68,1.09
4,3.7,4.47,0.77,2.12,2.89,0.77
,,,,,,
argentina_1_2018,Meciuri:,138,,,,,
G,PA,A,dA,PD,D,dD
0,27.93,27.54,-0.39,42.22,44.2,1.98
1,35.62,32.61,-3.01,36.41,32.61,-3.8
2,22.72,27.54,4.82,15.7,18.84,3.14
3,9.66,9.42,-0.24,4.51,2.17,-2.34
4,3.08,2.9,-0.18,0.97,1.45,0.48
,,,,,,
argentina_1_2016,Meciuri:,692,,,,,
G,PA,A,dA,PD,D,dD
0,26.69,27.17,0.48,35.53,38.44,2.91
1,35.25,34.39,-0.86,36.77,33.24,-3.53
2,23.28,23.12,-0.16,19.02,18.06,-0.96
3,10.25,10.84,0.59,6.56,7.8,1.24
4,3.38,3.61,0.23,1.7,1.88,0.18
,,,,,,
argentina_1_2017,Meciuri:,378,,,,,
G,PA,A,dA,PD,D,dD
0,27.43,27.78,0.35,38.07,40.74,2.67
1,35.48,34.66,-0.82,36.77,33.6,-3.17
2,22.95,23.28,0.33,17.75,16.93,-0.82
3,9.9,9.79,-0.11,5.71,6.35,0.64
4,3.2,3.7,0.5,1.38,1.85,0.47
,,,,,,
romania_1_2016,Meciuri:,270,,,,,
G,PA,A,dA,PD,D,dD
0,27.76,28.15,0.39,36.25,34.07,-2.18
1,35.58,35.56,-0.02,36.78,40.74,3.96
2,22.8,21.48,-1.32,18.66,17.41,-1.25
3,9.74,11.11,1.37,6.31,5.93,-0.38
4,3.12,2.22,-0.9,1.6,1.11,-0.49
,,,,,,
romania_1_2018,Meciuri:,98,,,,,
G,PA,A,dA,PD,D,dD
0,29.09,24.49,-4.6,32.22,37.76,5.54
1,35.92,42.86,6.94,36.49,30.61,-5.88
2,22.18,20.41,-1.77,20.67,17.35,-3.32
3,9.13,9.18,0.05,7.8,11.22,3.42
4,2.82,3.06,0.24,2.21,1.02,-1.19
,,,,,,
romania_1_2017,Meciuri:,270,,,,,
G,PA,A,dA,PD,D,dD
0,29.35,30.37,1.02,33.66,37.78,4.12
1,35.98,33.33,-2.65,36.65,32.59,-4.06
2,22.05,24.44,2.39,19.95,16.3,-3.65
3,9.01,8.89,-0.12,7.24,10.37,3.13
4,2.76,1.85,-0.91,1.97,2.22,0.25
,,,,,,
belgia_1_2017,Meciuri:,240,,,,,
G,PA,A,dA,PD,D,dD
0,21.05,21.25,0.2,27.14,29.58,2.44
1,32.8,30.83,-1.97,35.39,31.67,-3.72
2,25.56,26.25,0.69,23.08,23.33,0.25
3,13.28,15.42,2.14,10.03,11.25,1.22
4,5.17,5.0,-0.17,3.27,2.5,-0.77
,,,,,,
belgia_1_2018,Meciuri:,112,,,,,
G,PA,A,dA,PD,D,dD
0,20.05,22.32,2.27,24.4,22.32,-2.08
1,32.22,28.57,-3.65,34.42,40.18,5.76
2,25.89,25.89,0.0,24.28,22.32,-1.96
3,13.87,15.18,1.31,11.42,7.14,-4.28
4,5.57,5.36,-0.21,4.03,5.36,1.33
,,,,,,
