Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Serie A,14/05/16,Flamengo RJ,Sport Recife,1,0
Serie A,14/05/16,Palmeiras,Atletico-PR,4,0
Serie A,14/05/16,Atletico-MG,Santos,1,0
Serie A,15/05/16,Coritiba,Cruzeiro,1,0
Serie A,15/05/16,Botafogo RJ,Sao Paulo,0,1
Serie A,15/05/16,Santa Cruz,Vitoria,4,1
Serie A,15/05/16,America MG,Fluminense,0,1
Serie A,15/05/16,Corinthians,Gremio,0,0
Serie A,15/05/16,Figueirense,Ponte Preta,0,0
Serie A,15/05/16,Internacional,Chapecoense-SC,0,0
Serie A,21/05/16,Ponte Preta,Palmeiras,2,1
Serie A,21/05/16,Fluminense,Santa Cruz,2,2
Serie A,22/05/16,Cruzeiro,Figueirense,2,2
Serie A,22/05/16,Atletico-PR,Atletico-MG,1,1
Serie A,22/05/16,Santos,Coritiba,2,1
Serie A,22/05/16,Chapecoense-SC,America MG,3,1
Serie A,22/05/16,Gremio,Flamengo RJ,1,0
Serie A,22/05/16,Sao Paulo,Internacional,1,2
Serie A,22/05/16,Vitoria,Corinthians,3,2
Serie A,22/05/16,Sport Recife,Botafogo RJ,1,1
Serie A,25/05/16,Botafogo RJ,Atletico-PR,2,1
Serie A,25/05/16,Figueirense,Santos,2,2
Serie A,26/05/16,America MG,Vitoria,1,1
Serie A,26/05/16,Flamengo RJ,Chapecoense-SC,2,2
Serie A,26/05/16,Coritiba,Sao Paulo,1,1
Serie A,26/05/16,Palmeiras,Fluminense,2,0
Serie A,26/05/16,Santa Cruz,Cruzeiro,4,1
Serie A,26/05/16,Corinthians,Ponte Preta,3,0
Serie A,26/05/16,Internacional,Sport Recife,1,0
Serie A,27/05/16,Atletico-MG,Gremio,0,3
Serie A,28/05/16,Cruzeiro,America MG,1,1
Serie A,28/05/16,Atletico-PR,Figueirense,2,1
Serie A,29/05/16,Chapecoense-SC,Santa Cruz,1,1
Serie A,29/05/16,Ponte Preta,Flamengo RJ,1,2
Serie A,29/05/16,Sport Recife,Corinthians,0,2
Serie A,29/05/16,Fluminense,Botafogo RJ,1,0
Serie A,29/05/16,Sao Paulo,Palmeiras,1,0
Serie A,29/05/16,Vitoria,Atletico-MG,1,1
Serie A,29/05/16,Gremio,Coritiba,2,0
Serie A,29/05/16,Santos,Internacional,0,1
Serie A,01/06/16,Internacional,Atletico-PR,1,0
Serie A,02/06/16,Corinthians,Santos,1,0
Serie A,02/06/16,Coritiba,Chapecoense-SC,3,4
Serie A,02/06/16,Santa Cruz,Sport Recife,0,1
Serie A,02/06/16,Atletico-MG,Fluminense,1,1
Serie A,02/06/16,Botafogo RJ,Cruzeiro,0,1
Serie A,02/06/16,Figueirense,Sao Paulo,1,0
Serie A,02/06/16,America MG,Ponte Preta,1,2
Serie A,03/06/16,Flamengo RJ,Vitoria,1,0
Serie A,03/06/16,Palmeiras,Gremio,4,3
