Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Serie A,13/05/17,Flamengo RJ,Atletico-MG,1,1
Serie A,13/05/17,Corinthians,Chapecoense-SC,1,1
Serie A,14/05/17,Fluminense,Santos,3,2
Serie A,14/05/17,Avai,Vitoria,0,0
Serie A,14/05/17,Bahia,Atletico-PR,6,2
Serie A,14/05/17,Cruzeiro,Sao Paulo,1,0
Serie A,14/05/17,Palmeiras,Vasco,4,0
Serie A,14/05/17,Ponte Preta,Sport Recife,4,0
Serie A,14/05/17,Gremio,Botafogo RJ,2,0
Serie A,16/05/17,Coritiba,Atletico GO,4,1
Serie A,20/05/17,Santos,Coritiba,1,0
Serie A,20/05/17,Atletico GO,Flamengo RJ,0,3
Serie A,20/05/17,Chapecoense-SC,Palmeiras,1,0
Serie A,21/05/17,Vasco,Bahia,2,1
Serie A,21/05/17,Atletico-MG,Fluminense,1,2
Serie A,21/05/17,Atletico-PR,Gremio,0,2
Serie A,21/05/17,Vitoria,Corinthians,0,1
Serie A,21/05/17,Botafogo RJ,Ponte Preta,2,0
Serie A,21/05/17,Sport Recife,Cruzeiro,1,1
Serie A,23/05/17,Sao Paulo,Avai,2,0
Serie A,27/05/17,Vasco,Fluminense,3,2
Serie A,27/05/17,Sao Paulo,Palmeiras,2,0
Serie A,28/05/17,Vitoria,Coritiba,0,1
Serie A,28/05/17,Atletico-MG,Ponte Preta,2,2
Serie A,28/05/17,Atletico GO,Corinthians,0,1
Serie A,28/05/17,Atletico-PR,Flamengo RJ,1,1
Serie A,28/05/17,Santos,Cruzeiro,0,1
Serie A,28/05/17,Sport Recife,Gremio,4,3
Serie A,28/05/17,Botafogo RJ,Bahia,1,0
Serie A,30/05/17,Chapecoense-SC,Avai,2,0
Serie A,03/06/17,Coritiba,Atletico-PR,1,0
Serie A,03/06/17,Fluminense,Vitoria,2,1
Serie A,03/06/17,Corinthians,Santos,2,0
Serie A,04/06/17,Avai,Sport Recife,1,0
Serie A,04/06/17,Flamengo RJ,Botafogo RJ,0,0
Serie A,04/06/17,Gremio,Vasco,2,0
Serie A,04/06/17,Palmeiras,Atletico-MG,0,0
Serie A,04/06/17,Ponte Preta,Sao Paulo,1,0
Serie A,04/06/17,Cruzeiro,Chapecoense-SC,0,2
Serie A,06/06/17,Bahia,Atletico GO,3,0
Serie A,07/06/17,Fluminense,Atletico-PR,1,1
Serie A,07/06/17,Atletico-MG,Avai,1,0
Serie A,07/06/17,Coritiba,Palmeiras,1,0
Serie A,08/06/17,Santos,Botafogo RJ,1,0
Serie A,08/06/17,Sport Recife,Flamengo RJ,2,0
Serie A,08/06/17,Vasco,Corinthians,2,5
Serie A,08/06/17,Atletico GO,Ponte Preta,3,0
Serie A,08/06/17,Sao Paulo,Vitoria,2,0
Serie A,09/06/17,Chapecoense-SC,Gremio,3,6
Serie A,09/06/17,Bahia,Cruzeiro,1,0
Serie A,10/06/17,Palmeiras,Fluminense,3,1
Serie A,10/06/17,Vasco,Sport Recife,2,1
Serie A,11/06/17,Botafogo RJ,Coritiba,2,2
Serie A,11/06/17,Avai,Flamengo RJ,1,1
Serie A,11/06/17,Corinthians,Sao Paulo,3,2
Serie A,11/06/17,Ponte Preta,Chapecoense-SC,3,2
Serie A,11/06/17,Vitoria,Atletico-MG,2,0
Serie A,11/06/17,Cruzeiro,Atletico GO,2,0
Serie A,11/06/17,Atletico-PR,Santos,0,2
Serie A,13/06/17,Gremio,Bahia,1,0
Serie A,14/06/17,Atletico GO,Avai,3,1
Serie A,14/06/17,Atletico-MG,Atletico-PR,0,1
Serie A,14/06/17,Sport Recife,Sao Paulo,0,0
Serie A,14/06/17,Vitoria,Botafogo RJ,2,2
Serie A,15/06/17,Flamengo RJ,Ponte Preta,2,0
Serie A,15/06/17,Chapecoense-SC,Vasco,2,1
Serie A,15/06/17,Corinthians,Cruzeiro,1,0
Serie A,15/06/17,Santos,Palmeiras,1,0
Serie A,15/06/17,Coritiba,Bahia,0,0
Serie A,16/06/17,Fluminense,Gremio,0,2
Serie A,17/06/17,Atletico GO,Atletico-PR,0,1
Serie A,17/06/17,Vasco,Avai,1,0
Serie A,18/06/17,Santos,Ponte Preta,0,0
