Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Bundesliga,23/07/16,Rapid Vienna,Ried,5,0
Bundesliga,23/07/16,Altach,AC Wolfsberger,1,0
Bundesliga,23/07/16,Sturm Graz,Salzburg,3,1
Bundesliga,24/07/16,St. Polten,Austria Vienna,1,2
Bundesliga,24/07/16,Mattersburg,Admira,0,1
Bundesliga,30/07/16,Salzburg,AC Wolfsberger,1,1
Bundesliga,30/07/16,Ried,Sturm Graz,1,0
Bundesliga,31/07/16,Altach,Rapid Vienna,1,0
Bundesliga,31/07/16,Austria Vienna,Mattersburg,3,1
Bundesliga,31/07/16,St. Polten,Admira,2,1
Bundesliga,06/08/16,Mattersburg,Sturm Graz,0,2
Bundesliga,06/08/16,AC Wolfsberger,Ried,1,0
Bundesliga,06/08/16,Admira,Altach,1,2
Bundesliga,06/08/16,Salzburg,St. Polten,2,0
Bundesliga,07/08/16,Austria Vienna,Rapid Vienna,1,4
Bundesliga,13/08/16,Ried,Salzburg,0,2
Bundesliga,13/08/16,Altach,St. Polten,3,1
Bundesliga,13/08/16,Mattersburg,AC Wolfsberger,3,1
Bundesliga,13/08/16,Rapid Vienna,Admira,4,0
Bundesliga,14/08/16,Sturm Graz,Austria Vienna,3,1
Bundesliga,20/08/16,St. Polten,Sturm Graz,1,3
Bundesliga,20/08/16,Admira,Ried,1,0
Bundesliga,20/08/16,Salzburg,Mattersburg,3,1
Bundesliga,21/08/16,AC Wolfsberger,Rapid Vienna,1,1
Bundesliga,21/08/16,Austria Vienna,Altach,3,1
Bundesliga,27/08/16,Sturm Graz,Altach,3,1
Bundesliga,27/08/16,AC Wolfsberger,Admira,5,0
Bundesliga,27/08/16,Mattersburg,St. Polten,1,1
Bundesliga,28/08/16,Rapid Vienna,Salzburg,0,0
Bundesliga,28/08/16,Ried,Austria Vienna,1,1
Bundesliga,10/09/16,Sturm Graz,Rapid Vienna,1,1
Bundesliga,10/09/16,Altach,Mattersburg,2,1
Bundesliga,10/09/16,Austria Vienna,AC Wolfsberger,4,1
Bundesliga,10/09/16,St. Polten,Ried,2,3
Bundesliga,11/09/16,Admira,Salzburg,0,4
Bundesliga,17/09/16,Ried,Altach,2,1
Bundesliga,17/09/16,AC Wolfsberger,St. Polten,1,1
Bundesliga,17/09/16,Admira,Sturm Graz,0,3
Bundesliga,18/09/16,Salzburg,Austria Vienna,4,1
Bundesliga,18/09/16,Rapid Vienna,Mattersburg,3,0
Bundesliga,24/09/16,St. Polten,Rapid Vienna,1,1
Bundesliga,24/09/16,Austria Vienna,Admira,1,2
Bundesliga,24/09/16,Mattersburg,Ried,1,1
Bundesliga,24/09/16,Sturm Graz,AC Wolfsberger,3,0
Bundesliga,25/09/16,Altach,Salzburg,0,0
Bundesliga,01/10/16,AC Wolfsberger,Altach,1,2
Bundesliga,01/10/16,Admira,Mattersburg,1,0
Bundesliga,02/10/16,Ried,Rapid Vienna,4,2
Bundesliga,02/10/16,Salzburg,Sturm Graz,0,1
Bundesliga,02/10/16,Austria Vienna,St. Polten,2,1
Bundesliga,15/10/16,AC Wolfsberger,Salzburg,2,2
Bundesliga,15/10/16,Admira,St. Polten,1,1
Bundesliga,15/10/16,Rapid Vienna,Altach,1,1
Bundesliga,15/10/16,Sturm Graz,Ried,1,0
Bundesliga,16/10/16,Mattersburg,Austria Vienna,0,2
Bundesliga,22/10/16,Sturm Graz,Mattersburg,2,2
Bundesliga,22/10/16,Altach,Admira,2,0
Bundesliga,22/10/16,Ried,AC Wolfsberger,0,1
Bundesliga,23/10/16,St. Polten,Salzburg,1,5
Bundesliga,23/10/16,Rapid Vienna,Austria Vienna,0,2
Bundesliga,29/10/16,Admira,Rapid Vienna,1,2
Bundesliga,29/10/16,AC Wolfsberger,Mattersburg,3,0
Bundesliga,29/10/16,Salzburg,Ried,1,0
Bundesliga,29/10/16,St. Polten,Altach,0,1
Bundesliga,30/10/16,Austria Vienna,Sturm Graz,2,0
Bundesliga,05/11/16,Sturm Graz,St. Polten,1,2
Bundesliga,05/11/16,Ried,Admira,2,1
Bundesliga,06/11/16,Rapid Vienna,AC Wolfsberger,0,1
Bundesliga,06/11/16,Altach,Austria Vienna,5,1
Bundesliga,06/11/16,Mattersburg,Salzburg,2,1
Bundesliga,19/11/16,Altach,Sturm Graz,1,1
Bundesliga,19/11/16,Admira,AC Wolfsberger,4,1
Bundesliga,19/11/16,Austria Vienna,Ried,2,0
Bundesliga,19/11/16,St. Polten,Mattersburg,2,2
Bundesliga,20/11/16,Salzburg,Rapid Vienna,2,1
Bundesliga,26/11/16,Ried,St. Polten,1,2
Bundesliga,26/11/16,Mattersburg,Altach,1,2
