Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Ekstraklasa,15/07/16,Plock,Lechia Gdansk,2,1
Ekstraklasa,15/07/16,Slask Wroclaw,Lech Poznan,0,0
Ekstraklasa,16/07/16,Ruch,Leczna,2,1
Ekstraklasa,16/07/16,Wisla,Pogon Szczecin,2,1
Ekstraklasa,16/07/16,Legia,Jagiellonia,1,1
Ekstraklasa,17/07/16,Zaglebie,Korona Kielce,4,0
Ekstraklasa,17/07/16,Cracovia,Piast Gliwice,5,1
Ekstraklasa,18/07/16,Termalica B-B.,Arka Gdynia,2,0
Ekstraklasa,22/07/16,Pogon Szczecin,Korona Kielce,1,1
Ekstraklasa,22/07/16,Arka Gdynia,Wisla,3,0
Ekstraklasa,23/07/16,Jagiellonia,Ruch,4,1
Ekstraklasa,23/07/16,Legia,Slask Wroclaw,0,0
Ekstraklasa,24/07/16,Piast Gliwice,Plock,2,1
Ekstraklasa,24/07/16,Termalica B-B.,Cracovia,3,2
Ekstraklasa,24/07/16,Lech Poznan,Zaglebie,0,2
Ekstraklasa,25/07/16,Leczna,Lechia Gdansk,1,2
Ekstraklasa,29/07/16,Arka Gdynia,Ruch,3,0
Ekstraklasa,29/07/16,Lech Poznan,Jagiellonia,0,2
Ekstraklasa,30/07/16,Lechia Gdansk,Wisla,3,1
Ekstraklasa,30/07/16,Plock,Legia,2,3
Ekstraklasa,31/07/16,Leczna,Cracovia,0,0
Ekstraklasa,31/07/16,Zaglebie,Termalica B-B.,2,0
Ekstraklasa,31/07/16,Korona Kielce,Piast Gliwice,1,1
Ekstraklasa,01/08/16,Pogon Szczecin,Slask Wroclaw,0,2
Ekstraklasa,05/08/16,Jagiellonia,Arka Gdynia,4,1
Ekstraklasa,05/08/16,Cracovia,Wisla,2,1
Ekstraklasa,06/08/16,Termalica B-B.,Leczna,2,1
Ekstraklasa,06/08/16,Slask Wroclaw,Lechia Gdansk,0,0
Ekstraklasa,06/08/16,Korona Kielce,Lech Poznan,4,1
Ekstraklasa,07/08/16,Zaglebie,Pogon Szczecin,1,1
Ekstraklasa,07/08/16,Legia,Piast Gliwice,0,0
Ekstraklasa,08/08/16,Ruch,Plock,2,2
Ekstraklasa,12/08/16,Lechia Gdansk,Korona Kielce,3,2
Ekstraklasa,12/08/16,Lech Poznan,Cracovia,2,1
Ekstraklasa,13/08/16,Arka Gdynia,Slask Wroclaw,2,0
Ekstraklasa,13/08/16,Leczna,Legia,1,0
Ekstraklasa,13/08/16,Pogon Szczecin,Termalica B-B.,5,0
Ekstraklasa,14/08/16,Piast Gliwice,Zaglebie,0,0
Ekstraklasa,14/08/16,Wisla,Ruch,1,2
Ekstraklasa,15/08/16,Plock,Jagiellonia,1,0
Ekstraklasa,19/08/16,Slask Wroclaw,Plock,0,0
Ekstraklasa,19/08/16,Termalica B-B.,Lech Poznan,0,0
Ekstraklasa,20/08/16,Cracovia,Ruch,1,1
Ekstraklasa,20/08/16,Piast Gliwice,Pogon Szczecin,0,2
Ekstraklasa,20/08/16,Legia,Arka Gdynia,1,3
Ekstraklasa,21/08/16,Zaglebie,Leczna,0,0
Ekstraklasa,21/08/16,Jagiellonia,Lechia Gdansk,0,1
Ekstraklasa,22/08/16,Korona Kielce,Wisla,1,0
Ekstraklasa,26/08/16,Plock,Korona Kielce,1,2
Ekstraklasa,26/08/16,Wisla,Slask Wroclaw,1,5
Ekstraklasa,27/08/16,Pogon Szczecin,Cracovia,1,1
Ekstraklasa,27/08/16,Leczna,Jagiellonia,0,2
Ekstraklasa,27/08/16,Arka Gdynia,Zaglebie,1,1
Ekstraklasa,28/08/16,Lech Poznan,Piast Gliwice,2,0
Ekstraklasa,28/08/16,Lechia Gdansk,Termalica B-B.,1,2
Ekstraklasa,28/08/16,Ruch,Legia,0,2
Ekstraklasa,09/09/16,Cracovia,Lechia Gdansk,0,1
Ekstraklasa,09/09/16,Zaglebie,Plock,1,2
Ekstraklasa,10/09/16,Piast Gliwice,Leczna,3,3
Ekstraklasa,10/09/16,Korona Kielce,Arka Gdynia,1,0
Ekstraklasa,10/09/16,Termalica B-B.,Legia,2,1
Ekstraklasa,11/09/16,Lech Poznan,Pogon Szczecin,3,1
Ekstraklasa,11/09/16,Jagiellonia,Wisla,2,1
Ekstraklasa,12/09/16,Slask Wroclaw,Ruch,1,2
Ekstraklasa,16/09/16,Ruch,Termalica B-B.,0,1
Ekstraklasa,16/09/16,Slask Wroclaw,Jagiellonia,0,4
Ekstraklasa,17/09/16,Leczna,Korona Kielce,4,0
Ekstraklasa,17/09/16,Plock,Pogon Szczecin,2,0
Ekstraklasa,17/09/16,Wisla,Piast Gliwice,1,0
Ekstraklasa,18/09/16,Lechia Gdansk,Lech Poznan,2,1
Ekstraklasa,18/09/16,Legia,Zaglebie,2,3
Ekstraklasa,19/09/16,Arka Gdynia,Cracovia,1,0
Ekstraklasa,23/09/16,Termalica B-B.,Plock,0,0
Ekstraklasa,23/09/16,Wisla,Legia,0,0
Ekstraklasa,24/09/16,Pogon Szczecin,Leczna,1,1
Ekstraklasa,24/09/16,Lechia Gdansk,Ruch,2,1
Ekstraklasa,24/09/16,Zaglebie,Cracovia,1,1
Ekstraklasa,25/09/16,Korona Kielce,Jagiellonia,1,2
Ekstraklasa,25/09/16,Lech Poznan,Arka Gdynia,0,0
Ekstraklasa,26/09/16,Piast Gliwice,Slask Wroclaw,1,1
Ekstraklasa,30/09/16,Ruch,Zaglebie,1,2
Ekstraklasa,30/09/16,Leczna,Lech Poznan,1,2
Ekstraklasa,01/10/16,Arka Gdynia,Piast Gliwice,1,2
Ekstraklasa,01/10/16,Plock,Wisla,2,3
Ekstraklasa,01/10/16,Legia,Lechia Gdansk,3,0
Ekstraklasa,02/10/16,Cracovia,Korona Kielce,6,0
Ekstraklasa,02/10/16,Slask Wroclaw,Termalica B-B.,1,2
Ekstraklasa,02/10/16,Jagiellonia,Pogon Szczecin,0,0
Ekstraklasa,14/10/16,Cracovia,Plock,1,0
Ekstraklasa,14/10/16,Pogon Szczecin,Legia,3,2
Ekstraklasa,15/10/16,Leczna,Arka Gdynia,0,0
Ekstraklasa,15/10/16,Piast Gliwice,Ruch,2,1
Ekstraklasa,15/10/16,Zaglebie,Lechia Gdansk,1,2
Ekstraklasa,16/10/16,Termalica B-B.,Jagiellonia,0,0
Ekstraklasa,16/10/16,Lech Poznan,Wisla,1,1
Ekstraklasa,17/10/16,Korona Kielce,Slask Wroclaw,1,2
Ekstraklasa,21/10/16,Arka Gdynia,Pogon Szczecin,0,3
Ekstraklasa,21/10/16,Wisla,Termalica B-B.,2,0
Ekstraklasa,22/10/16,Plock,Leczna,1,2
Ekstraklasa,22/10/16,Slask Wroclaw,Cracovia,2,2
Ekstraklasa,22/10/16,Legia,Lech Poznan,2,1
Ekstraklasa,23/10/16,Lechia Gdansk,Piast Gliwice,3,2
Ekstraklasa,23/10/16,Jagiellonia,Zaglebie,1,2
