Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Ekstraklasa,14/07/17,Plock,Lechia Gdansk,0,2
Ekstraklasa,14/07/17,Pogon Szczecin,Wisla,1,2
Ekstraklasa,15/07/17,Cracovia,Piast Gliwice,1,1
Ekstraklasa,15/07/17,Gornik Z.,Legia,3,1
Ekstraklasa,16/07/17,Arka Gdynia,Slask Wroclaw,2,0
Ekstraklasa,16/07/17,Termalica B-B.,Jagiellonia,0,1
Ekstraklasa,16/07/17,Lech Poznan,Sandecja Nowy S.,0,0
Ekstraklasa,17/07/17,Korona Kielce,Zaglebie,0,1
Ekstraklasa,21/07/17,Sandecja Nowy S.,Arka Gdynia,0,0
Ekstraklasa,21/07/17,Wisla,Termalica B-B.,1,0
Ekstraklasa,22/07/17,Piast Gliwice,Pogon Szczecin,1,2
Ekstraklasa,22/07/17,Lechia Gdansk,Cracovia,0,1
Ekstraklasa,22/07/17,Legia,Korona Kielce,1,1
Ekstraklasa,23/07/17,Plock,Lech Poznan,1,0
Ekstraklasa,23/07/17,Jagiellonia,Gornik Z.,2,1
Ekstraklasa,24/07/17,Zaglebie,Slask Wroclaw,1,0
Ekstraklasa,28/07/17,Termalica B-B.,Zaglebie,1,1
Ekstraklasa,28/07/17,Slask Wroclaw,Lechia Gdansk,3,2
Ekstraklasa,29/07/17,Legia,Sandecja Nowy S.,2,0
Ekstraklasa,29/07/17,Gornik Z.,Wisla,3,2
Ekstraklasa,30/07/17,Arka Gdynia,Plock,1,1
Ekstraklasa,30/07/17,Pogon Szczecin,Jagiellonia,0,1
Ekstraklasa,30/07/17,Lech Poznan,Piast Gliwice,5,1
Ekstraklasa,31/07/17,Korona Kielce,Cracovia,4,2
Ekstraklasa,04/08/17,Piast Gliwice,Slask Wroclaw,1,1
Ekstraklasa,04/08/17,Plock,Wisla,0,1
Ekstraklasa,05/08/17,Lechia Gdansk,Gornik Z.,1,1
Ekstraklasa,05/08/17,Zaglebie,Pogon Szczecin,3,0
Ekstraklasa,05/08/17,Termalica B-B.,Legia,1,0
Ekstraklasa,06/08/17,Jagiellonia,Sandecja Nowy S.,1,3
Ekstraklasa,06/08/17,Cracovia,Lech Poznan,0,2
Ekstraklasa,07/08/17,Arka Gdynia,Korona Kielce,0,0
Ekstraklasa,11/08/17,Legia,Piast Gliwice,3,1
Ekstraklasa,12/08/17,Sandecja Nowy S.,Plock,0,1
Ekstraklasa,12/08/17,Lech Poznan,Zaglebie,1,1
Ekstraklasa,12/08/17,Wisla,Cracovia,2,1
Ekstraklasa,13/08/17,Gornik Z.,Arka Gdynia,1,1
Ekstraklasa,13/08/17,Korona Kielce,Jagiellonia,2,3
Ekstraklasa,14/08/17,Pogon Szczecin,Lechia Gdansk,0,0
Ekstraklasa,15/08/17,Slask Wroclaw,Termalica B-B.,1,1
Ekstraklasa,18/08/17,Lechia Gdansk,Sandecja Nowy S.,2,3
Ekstraklasa,18/08/17,Cracovia,Gornik Z.,3,3
Ekstraklasa,19/08/17,Arka Gdynia,Pogon Szczecin,0,3
Ekstraklasa,19/08/17,Piast Gliwice,Korona Kielce,2,0
Ekstraklasa,19/08/17,Jagiellonia,Slask Wroclaw,1,1
Ekstraklasa,20/08/17,Plock,Legia,0,1
Ekstraklasa,20/08/17,Termalica B-B.,Lech Poznan,1,3
Ekstraklasa,21/08/17,Zaglebie,Wisla,3,0
Ekstraklasa,25/08/17,Gornik Z.,Plock,4,0
Ekstraklasa,25/08/17,Slask Wroclaw,Cracovia,2,1
Ekstraklasa,26/08/17,Korona Kielce,Termalica B-B.,2,1
Ekstraklasa,26/08/17,Jagiellonia,Piast Gliwice,0,1
Ekstraklasa,26/08/17,Wisla,Lechia Gdansk,1,1
